province,phase,period_start,well_milled_price,regular_milled_price
Northern Samar,1st,2024-04-01,54.34,44.32
Nueva Ecija,1st,2024-04-01,53.25,51.26
Nueva Vizcaya,1st,2024-04-01,50.75,48.50
Occidental Mindoro,1st,2024-04-01,61.50,56.42
Oriental Mindoro,1st,2024-04-01,52.84,46.50
Palawan,1st,2024-04-01,52.29,47.14
Pampanga,1st,2024-04-01,54.60,50.50
Pangasinan,1st,2024-04-01,53.50,48.50
Quezon,1st,2024-04-01,52.00,48.00
Quirino,1st,2024-04-01,52.67,50.00
Rizal,1st,2024-04-01,54.00,50.84
Romblon,1st,2024-04-01,62.50,59.13
Sarangani,1st,2024-04-01,56.42,54.75
Siquijor,1st,2024-04-01,60.20,55.75
Sorsogon,1st,2024-04-01,56.00,53.52
South Cotabato,1st,2024-04-01,54.45,43.90
Southern Leyte,1st,2024-04-01,60.95,57.03
Sultan Kudarat,1st,2024-04-01,52.38,50.75
Sulu,1st,2024-04-01,,
Surigao Del Norte,1st,2024-04-01,54.87,49.50
Surigao Del Sur,1st,2024-04-01,55.55,53.50
Tarlac,1st,2024-04-01,55.50,51.67
Tawi-Tawi,1st,2024-04-01,61.50,56.00
Western Samar,1st,2024-04-01,57.13,54.25
Zambales,1st,2024-04-01,70.38,68.44
Zamboanga Del Norte,1st,2024-04-01,59.26,53.50
Zamboanga Del Sur,1st,2024-04-01,55.70,50.63
Zamboanga Sibugay,1st,2024-04-01,56.67,52.50
Abra,2nd,2024-04-16,56.00,50.00
Agusan Del Norte,2nd,2024-04-16,54.10,45.50
Agusan Del Sur,2nd,2024-04-16,54.17,50.25
Aklan,2nd,2024-04-16,63.00,52.00
Albay,2nd,2024-04-16,58.75,54.25
Antique,2nd,2024-04-16,58.00,52.00
Apayao,2nd,2024-04-16,51.50,50.50
Aurora,2nd,2024-04-16,56.30,53.00
Basilan,2nd,2024-04-16,56.59,55.67
Bataan,2nd,2024-04-16,65.94,45.50
Batanes,2nd,2024-04-16,76.00,
Batangas,2nd,2024-04-16,63.90,66.00
Benguet,2nd,2024-04-16,51.88,41.00
Biliran,2nd,2024-04-16,57.13,54.42
Bohol,2nd,2024-04-16,55.20,55.70
Bukidnon,2nd,2024-04-16,55.33,52.00
Bulacan,2nd,2024-04-16,60.01,50.00
Cagayan,2nd,2024-04-16,51.13,44.75
Camarines Norte,2nd,2024-04-16,57.42,51.00
Camarines Sur,2nd,2024-04-16,55.49,55.20
Camiguin,2nd,2024-04-16,56.29,52.42
Capiz,2nd,2024-04-16,50.00,45.50
Catanduanes,2nd,2024-04-16,52.95,50.98
Cavite,2nd,2024-04-16,52.73,49.69
Cebu,2nd,2024-04-16,58.50,53.25
City Of Isabela,2nd,2024-04-16,59.89,51.55
Davao De Oro,2nd,2024-04-16,,53.15
Davao Del Norte,2nd,2024-04-16,59.45,48.73
Davao Del Sur,2nd,2024-04-16,59.00,58.00
Davao Occidental,2nd,2024-04-16,55.34,52.75
Davao Oriental,2nd,2024-04-16,55.13,51.34
Dinagat Islands,2nd,2024-04-16,55.83,53.45
Eastern Samar,2nd,2024-04-16,52.94,51.43
Guimaras,2nd,2024-04-16,55.00,52.50
Ifugao,2nd,2024-04-16,58.98,51.00
Ilocos Norte,2nd,2024-04-16,55.04,52.00
Ilocos Sur,2nd,2024-04-16,54.00,50.17
Iloilo,2nd,2024-04-16,62.25,37.50
Isabela,2nd,2024-04-16,50.30,46.47
Kalinga,2nd,2024-04-16,56.00,51.00
La Union,2nd,2024-04-16,54.00,51.00
Laguna,2nd,2024-04-16,54.38,49.00
Lanao Del Sur,2nd,2024-04-16,60.00,57.25
Lanao del Norte,2nd,2024-04-16,52.84,48.50
Leyte,2nd,2024-04-16,65.68,51.84
Maguindanao,2nd,2024-04-16,48.75,47.50
Marinduque,2nd,2024-04-16,55.50,41.50
Masbate,2nd,2024-04-16,57.67,54.75
Misamis Occidental,2nd,2024-04-16,53.00,49.50
Misamis Oriental,2nd,2024-04-16,60.32,54.68
Mountain Province,2nd,2024-04-16,60.00,55.00
NCR,2nd,2024-04-16,52.94,45.12
Negros Occidental,2nd,2024-04-16,65.00,51.50
Negros Oriental,2nd,2024-04-16,59.70,54.09
North Cotabato,2nd,2024-04-16,54.88,53.30
Northern Samar,2nd,2024-04-16,54.27,44.30
Nueva Ecija,2nd,2024-04-16,53.75,50.50
Nueva Vizcaya,2nd,2024-04-16,50.50,48.50
Occidental Mindoro,2nd,2024-04-16,60.38,57.50
Oriental Mindoro,2nd,2024-04-16,51.59,45.47
Palawan,2nd,2024-04-16,52.14,47.14
Pampanga,2nd,2024-04-16,54.50,50.50
Pangasinan,2nd,2024-04-16,54.30,48.50
Quezon,2nd,2024-04-16,52.00,48.00
Quirino,2nd,2024-04-16,52.83,49.50
Rizal,2nd,2024-04-16,54.00,50.84
Romblon,2nd,2024-04-16,61.67,58.63
Sarangani,2nd,2024-04-16,55.85,54.00
Siquijor,2nd,2024-04-16,61.10,55.55
Sorsogon,2nd,2024-04-16,55.93,52.70
South Cotabato,2nd,2024-04-16,53.50,43.90
Southern Leyte,2nd,2024-04-16,61.25,57.27
Sultan Kudarat,2nd,2024-04-16,52.00,50.50
Sulu,2nd,2024-04-16,,
Surigao Del Norte,2nd,2024-04-16,53.95,51.63
Surigao Del Sur,2nd,2024-04-16,55.00,52.84
Tarlac,2nd,2024-04-16,55.00,51.67
Tawi-Tawi,2nd,2024-04-16,65.00,55.50
Western Samar,2nd,2024-04-16,57.13,52.38
Zambales,2nd,2024-04-16,70.38,68.44
Zamboanga Del Norte,2nd,2024-04-16,59.26,53.50
Zamboanga Del Sur,2nd,2024-04-16,55.50,52.75
Zamboanga Sibugay,2nd,2024-04-16,56.67,52.50
Abra,1st,2024-05-01,56.00,50.00
Agusan Del Norte,1st,2024-05-01,53.79,45.49
Agusan Del Sur,1st,2024-05-01,54.09,50.50
Aklan,1st,2024-05-01,63.00,52.00
Albay,1st,2024-05-01,53.88,54.88
Antique,1st,2024-05-01,58.17,52.50
Apayao,1st,2024-05-01,49.50,49.68
Aurora,1st,2024-05-01,55.21,54.00
Basilan,1st,2024-05-01,55.75,55.67
Bataan,1st,2024-05-01,65.84,45.35
Batanes,1st,2024-05-01,76.00,
Batangas,1st,2024-05-01,65.70,66.00
Benguet,1st,2024-05-01,51.75,41.00
Biliran,1st,2024-05-01,56.42,53.09
Bohol,1st,2024-05-01,56.20,54.10
Bukidnon,1st,2024-05-01,54.67,52.00
Bulacan,1st,2024-05-01,57.92,50.00
Cagayan,1st,2024-05-01,51.13,44.75
Camarines Norte,1st,2024-05-01,58.17,52.00
Camarines Sur,1st,2024-05-01,51.67,51.15
Camiguin,1st,2024-05-01,56.38,52.25
Capiz,1st,2024-05-01,50.00,47.34
Catanduanes,1st,2024-05-01,55.00,53.00
Cavite,1st,2024-05-01,51.93,48.96
Cebu,1st,2024-05-01,58.50,53.25
City Of Isabela,1st,2024-05-01,60.08,51.68
Davao De Oro,1st,2024-05-01,,52.75
Davao Del Norte,1st,2024-05-01,59.18,49.73
Davao Del Sur,1st,2024-05-01,54.25,52.00
Davao Occidental,1st,2024-05-01,55.34,52.75
Davao Oriental,1st,2024-05-01,53.50,51.00
Dinagat Islands,1st,2024-05-01,56.70,52.60
Eastern Samar,1st,2024-05-01,51.28,50.33
Guimaras,1st,2024-05-01,55.00,52.50
Ifugao,1st,2024-05-01,56.90,50.00
Ilocos Norte,1st,2024-05-01,53.10,50.00
Ilocos Sur,1st,2024-05-01,53.50,48.50
Iloilo,1st,2024-05-01,62.25,40.00
Isabela,1st,2024-05-01,50.13,46.31
Kalinga,1st,2024-05-01,56.50,51.50
La Union,1st,2024-05-01,54.00,51.00
Laguna,1st,2024-05-01,53.96,49.00
Lanao Del Sur,1st,2024-05-01,60.34,58.25
Lanao del Norte,1st,2024-05-01,52.33,48.33
Leyte,1st,2024-05-01,67.41,51.25
Maguindanao,1st,2024-05-01,48.75,47.50
Marinduque,1st,2024-05-01,56.00,53.00
Masbate,1st,2024-05-01,53.84,52.25
Misamis Occidental,1st,2024-05-01,52.50,48.50
Misamis Oriental,1st,2024-05-01,60.32,54.68
Mountain Province,1st,2024-05-01,65.00,56.50
NCR,1st,2024-05-01,53.23,46.06
Negros Occidental,1st,2024-05-01,64.50,51.00
Negros Oriental,1st,2024-05-01,56.79,53.54
North Cotabato,1st,2024-05-01,54.88,53.00
Northern Samar,1st,2024-05-01,53.83,44.49
Nueva Ecija,1st,2024-05-01,53.25,49.50
Nueva Vizcaya,1st,2024-05-01,48.25,47.00
Occidental Mindoro,1st,2024-05-01,60.25,58.17
Oriental Mindoro,1st,2024-05-01,49.92,44.50
Palawan,1st,2024-05-01,51.00,46.89
Pampanga,1st,2024-05-01,54.30,50.40
Pangasinan,1st,2024-05-01,53.50,48.50
Quezon,1st,2024-05-01,53.50,50.00
Quirino,1st,2024-05-01,52.50,47.75
Rizal,1st,2024-05-01,54.00,50.84
Romblon,1st,2024-05-01,61.83,58.50
Sarangani,1st,2024-05-01,56.00,53.50
Siquijor,1st,2024-05-01,60.60,54.45
Sorsogon,1st,2024-05-01,56.18,50.70
South Cotabato,1st,2024-05-01,53.50,43.90
Southern Leyte,1st,2024-05-01,60.88,56.64
Sultan Kudarat,1st,2024-05-01,52.00,50.00
Sulu,1st,2024-05-01,,
Surigao Del Norte,1st,2024-05-01,53.88,50.38
Surigao Del Sur,1st,2024-05-01,55.40,52.30
Tarlac,1st,2024-05-01,55.00,51.67
Tawi-Tawi,1st,2024-05-01,65.00,54.17
Western Samar,1st,2024-05-01,55.13,51.17
Zambales,1st,2024-05-01,70.38,68.44
Zamboanga Del Norte,1st,2024-05-01,57.74,52.50
Zamboanga Del Sur,1st,2024-05-01,54.75,52.00
Zamboanga Sibugay,1st,2024-05-01,56.25,51.25
Abra,2nd,2024-05-16,56.00,50.00
Agusan Del Norte,2nd,2024-05-16,54.29,45.49
Agusan Del Sur,2nd,2024-05-16,54.25,51.09
Aklan,2nd,2024-05-16,63.00,52.00
Albay,2nd,2024-05-16,53.38,53.38
Antique,2nd,2024-05-16,58.25,52.50
Apayao,2nd,2024-05-16,49.98,49.70
Aurora,2nd,2024-05-16,53.50,50.00
Basilan,2nd,2024-05-16,56.42,55.67
Bataan,2nd,2024-05-16,65.94,45.21
Batanes,2nd,2024-05-16,76.00,
Batangas,2nd,2024-05-16,67.45,66.00
Benguet,2nd,2024-05-16,51.63,43.25
Biliran,2nd,2024-05-16,56.42,53.09
Bohol,2nd,2024-05-16,56.50,53.60
Bukidnon,2nd,2024-05-16,55.00,52.00
Bulacan,2nd,2024-05-16,57.57,51.50
Cagayan,2nd,2024-05-16,50.79,44.75
Camarines Norte,2nd,2024-05-16,55.80,50.00
Camarines Sur,2nd,2024-05-16,52.57,52.06
Camiguin,2nd,2024-05-16,55.75,51.59
Capiz,2nd,2024-05-16,51.00,49.00
Catanduanes,2nd,2024-05-16,51.75,50.03
Cavite,2nd,2024-05-16,52.39,49.41
Cebu,2nd,2024-05-16,58.50,53.25
City Of Isabela,2nd,2024-05-16,60.25,52.06
Davao De Oro,2nd,2024-05-16,,53.38
Davao Del Norte,2nd,2024-05-16,59.20,49.73
Davao Del Sur,2nd,2024-05-16,56.25,54.75
Davao Occidental,2nd,2024-05-16,55.34,52.75
Davao Oriental,2nd,2024-05-16,56.50,52.00
Dinagat Islands,2nd,2024-05-16,55.67,53.50
Eastern Samar,2nd,2024-05-16,51.28,53.57
Guimaras,2nd,2024-05-16,55.00,53.00
Ifugao,2nd,2024-05-16,56.90,50.00
Ilocos Norte,2nd,2024-05-16,53.10,50.00
Ilocos Sur,2nd,2024-05-16,52.92,47.34
Iloilo,2nd,2024-05-16,61.75,40.00
Isabela,2nd,2024-05-16,50.08,45.96
Kalinga,2nd,2024-05-16,55.00,50.50
La Union,2nd,2024-05-16,54.00,51.00
Laguna,2nd,2024-05-16,53.96,49.00
Lanao Del Sur,2nd,2024-05-16,60.34,58.25
Lanao del Norte,2nd,2024-05-16,52.33,48.33
Leyte,2nd,2024-05-16,67.41,51.25
Maguindanao,2nd,2024-05-16,48.75,47.50
Marinduque,2nd,2024-05-16,56.63,52.25
Masbate,2nd,2024-05-16,56.50,52.25
Misamis Occidental,2nd,2024-05-16,52.50,48.50
Misamis Oriental,2nd,2024-05-16,59.47,55.96
Mountain Province,2nd,2024-05-16,65.00,56.50
NCR,2nd,2024-05-16,53.27,46.19
Negros Occidental,2nd,2024-05-16,65.00,51.50
Negros Oriental,2nd,2024-05-16,57.92,53.21
North Cotabato,2nd,2024-05-16,54.88,52.30
Northern Samar,2nd,2024-05-16,53.83,44.49
Nueva Ecija,2nd,2024-05-16,54.00,50.34
Nueva Vizcaya,2nd,2024-05-16,48.25,47.00
Occidental Mindoro,2nd,2024-05-16,60.88,57.88
Oriental Mindoro,2nd,2024-05-16,50.09,44.50
Palawan,2nd,2024-05-16,52.00,47.64
Pampanga,2nd,2024-05-16,54.50,50.90
Pangasinan,2nd,2024-05-16,53.50,48.50
Quezon,2nd,2024-05-16,53.50,50.00
Quirino,2nd,2024-05-16,52.67,47.75
Rizal,2nd,2024-05-16,54.00,50.84
Romblon,2nd,2024-05-16,61.83,58.50
Sarangani,2nd,2024-05-16,55.88,53.13
Siquijor,2nd,2024-05-16,59.80,55.15
Sorsogon,2nd,2024-05-16,55.10,49.55
South Cotabato,2nd,2024-05-16,53.85,43.90
Southern Leyte,2nd,2024-05-16,60.88,56.64
Sultan Kudarat,2nd,2024-05-16,52.50,50.75
Sulu,2nd,2024-05-16,,
Surigao Del Norte,2nd,2024-05-16,53.59,49.00
Surigao Del Sur,2nd,2024-05-16,56.00,53.30
Tarlac,2nd,2024-05-16,55.00,51.67
Tawi-Tawi,2nd,2024-05-16,60.00,54.17
Western Samar,2nd,2024-05-16,56.00,49.88
Zambales,2nd,2024-05-16,70.38,68.44
Zamboanga Del Norte,2nd,2024-05-16,57.74,52.00
Zamboanga Del Sur,2nd,2024-05-16,54.25,51.71
Zamboanga Sibugay,2nd,2024-05-16,56.25,51.25
Abra,1st,2024-06-01,56.00,47.00
Agusan Del Norte,1st,2024-06-01,54.29,50.67
Agusan Del Sur,1st,2024-06-01,54.38,51.75
Aklan,1st,2024-06-01,63.00,52.00
Albay,1st,2024-06-01,53.00,53.75
Antique,1st,2024-06-01,58.00,53.00
Apayao,1st,2024-06-01,49.90,48.38
Aurora,1st,2024-06-01,53.00,50.00
Basilan,1st,2024-06-01,55.50,55.00
Bataan,1st,2024-06-01,65.95,45.52
Batanes,1st,2024-06-01,76.00,
Batangas,1st,2024-06-01,68.77,66.00
Benguet,1st,2024-06-01,50.75,43.25
Biliran,1st,2024-06-01,56.25,52.92
Bohol,1st,2024-06-01,56.50,54.10
Bukidnon,1st,2024-06-01,53.33,50.00
Bulacan,1st,2024-06-01,58.70,51.50
Cagayan,1st,2024-06-01,50.44,44.25
Camarines Norte,1st,2024-06-01,56.30,48.00
Camarines Sur,1st,2024-06-01,53.75,53.20
Camiguin,1st,2024-06-01,55.00,52.25
Capiz,1st,2024-06-01,52.00,50.00
Catanduanes,1st,2024-06-01,55.00,53.00
Cavite,1st,2024-06-01,52.55,49.41
Cebu,1st,2024-06-01,58.20,53.25
City Of Isabela,1st,2024-06-01,59.89,51.83
Davao De Oro,1st,2024-06-01,,52.17
Davao Del Norte,1st,2024-06-01,59.18,49.48
Davao Del Sur,1st,2024-06-01,55.50,53.25
Davao Occidental,1st,2024-06-01,55.09,53.40
Davao Oriental,1st,2024-06-01,57.50,51.67
Dinagat Islands,1st,2024-06-01,55.92,53.98
Eastern Samar,1st,2024-06-01,51.19,53.57
Guimaras,1st,2024-06-01,55.00,52.00
Ifugao,1st,2024-06-01,56.70,50.00
Ilocos Norte,1st,2024-06-01,53.10,50.00
Ilocos Sur,1st,2024-06-01,51.50,48.25
Iloilo,1st,2024-06-01,63.27,39.75
Isabela,1st,2024-06-01,49.78,44.30
Kalinga,1st,2024-06-01,56.50,52.00
La Union,1st,2024-06-01,54.00,51.00
Laguna,1st,2024-06-01,54.38,50.50
Lanao Del Sur,1st,2024-06-01,59.34,57.63
Lanao del Norte,1st,2024-06-01,52.33,48.33
Leyte,1st,2024-06-01,67.43,50.59
Maguindanao,1st,2024-06-01,48.75,47.50
Marinduque,1st,2024-06-01,56.00,53.00
Masbate,1st,2024-06-01,56.25,54.00
Misamis Occidental,1st,2024-06-01,53.50,50.00
Misamis Oriental,1st,2024-06-01,59.47,55.96
Mountain Province,1st,2024-06-01,65.00,56.50
NCR,1st,2024-06-01,53.29,46.29
Negros Occidental,1st,2024-06-01,65.00,52.42
Negros Oriental,1st,2024-06-01,56.92,53.00
North Cotabato,1st,2024-06-01,55.38,53.20
Northern Samar,1st,2024-06-01,53.46,45.67
Nueva Ecija,1st,2024-06-01,53.34,49.84
Nueva Vizcaya,1st,2024-06-01,48.00,47.00
Occidental Mindoro,1st,2024-06-01,59.18,55.05
Oriental Mindoro,1st,2024-06-01,49.92,42.50
Palawan,1st,2024-06-01,52.15,46.68
Pampanga,1st,2024-06-01,54.50,50.90
Pangasinan,1st,2024-06-01,50.60,48.50
Quezon,1st,2024-06-01,53.50,50.00
Quirino,1st,2024-06-01,53.34,49.00
Rizal,1st,2024-06-01,54.00,50.17
Romblon,1st,2024-06-01,62.50,59.50
Sarangani,1st,2024-06-01,55.88,54.00
Siquijor,1st,2024-06-01,59.63,54.82
Sorsogon,1st,2024-06-01,55.10,49.55
South Cotabato,1st,2024-06-01,54.00,43.90
Southern Leyte,1st,2024-06-01,60.69,56.77
Sultan Kudarat,1st,2024-06-01,52.67,51.17
Sulu,1st,2024-06-01,,
Surigao Del Norte,1st,2024-06-01,53.50,50.00
Surigao Del Sur,1st,2024-06-01,55.30,52.20
Tarlac,1st,2024-06-01,55.00,51.00
Tawi-Tawi,1st,2024-06-01,60.00,53.42
Western Samar,1st,2024-06-01,56.38,52.88
Zambales,1st,2024-06-01,69.54,67.19
Zamboanga Del Norte,1st,2024-06-01,57.70,54.65
Zamboanga Del Sur,1st,2024-06-01,54.63,52.40
Zamboanga Sibugay,1st,2024-06-01,56.25,51.00
Abra,2nd,2024-06-16,56.00,47.00
Agusan Del Norte,2nd,2024-06-16,53.68,50.46
Agusan Del Sur,2nd,2024-06-16,54.88,51.17
Aklan,2nd,2024-06-16,63.00,52.00
Albay,2nd,2024-06-16,53.38,53.38
Antique,2nd,2024-06-16,57.50,53.00
Apayao,2nd,2024-06-16,49.90,48.38
Aurora,2nd,2024-06-16,52.50,50.00
Basilan,2nd,2024-06-16,56.63,55.00
Bataan,2nd,2024-06-16,61.43,42.67
Batanes,2nd,2024-06-16,76.00,
Batangas,2nd,2024-06-16,68.57,66.00
Benguet,2nd,2024-06-16,50.75,43.25
Biliran,2nd,2024-06-16,56.25,52.92
Bohol,2nd,2024-06-16,56.10,53.40
Bukidnon,2nd,2024-06-16,55.00,50.00
Bulacan,2nd,2024-06-16,54.63,52.00
Cagayan,2nd,2024-06-16,51.50,44.25
Camarines Norte,2nd,2024-06-16,56.62,48.00
Camarines Sur,2nd,2024-06-16,51.00,50.43
Camiguin,2nd,2024-06-16,54.75,52.09
Capiz,2nd,2024-06-16,52.50,50.34
Catanduanes,2nd,2024-06-16,54.50,51.50
Cavite,2nd,2024-06-16,52.64,49.41
Cebu,2nd,2024-06-16,58.20,53.25
City Of Isabela,2nd,2024-06-16,59.89,51.83
Davao De Oro,2nd,2024-06-16,,52.13
Davao Del Norte,2nd,2024-06-16,59.18,49.73
Davao Del Sur,2nd,2024-06-16,58.13,53.50
Davao Occidental,2nd,2024-06-16,55.34,52.64
Davao Oriental,2nd,2024-06-16,58.67,52.34
Dinagat Islands,2nd,2024-06-16,55.92,53.47
Eastern Samar,2nd,2024-06-16,51.44,48.00
Guimaras,2nd,2024-06-16,55.00,52.00
Ifugao,2nd,2024-06-16,56.70,50.00
Ilocos Norte,2nd,2024-06-16,53.10,50.00
Ilocos Sur,2nd,2024-06-16,52.17,47.50
Iloilo,2nd,2024-06-16,60.59,40.00
Isabela,2nd,2024-06-16,49.51,44.05
Kalinga,2nd,2024-06-16,56.50,52.00
La Union,2nd,2024-06-16,54.00,51.00
Laguna,2nd,2024-06-16,54.38,49.00
Lanao Del Sur,2nd,2024-06-16,59.34,57.63
Lanao del Norte,2nd,2024-06-16,52.33,48.33
Leyte,2nd,2024-06-16,67.43,50.75
Maguindanao,2nd,2024-06-16,48.75,47.50
Marinduque,2nd,2024-06-16,56.50,47.83
Masbate,2nd,2024-06-16,56.50,54.00
Misamis Occidental,2nd,2024-06-16,53.50,50.00
Misamis Oriental,2nd,2024-06-16,59.32,54.46
Mountain Province,2nd,2024-06-16,60.00,55.00
NCR,2nd,2024-06-16,53.17,46.15
Negros Occidental,2nd,2024-06-16,65.50,52.92
Negros Oriental,2nd,2024-06-16,56.92,53.00
North Cotabato,2nd,2024-06-16,55.38,53.20
Northern Samar,2nd,2024-06-16,52.80,45.21
Nueva Ecija,2nd,2024-06-16,53.34,49.84
Nueva Vizcaya,2nd,2024-06-16,48.00,46.50
Occidental Mindoro,2nd,2024-06-16,62.38,56.75
Oriental Mindoro,2nd,2024-06-16,52.17,43.00
Palawan,2nd,2024-06-16,52.18,48.43
Pampanga,2nd,2024-06-16,54.50,50.90
Pangasinan,2nd,2024-06-16,50.60,47.38
Quezon,2nd,2024-06-16,53.50,50.00
Quirino,2nd,2024-06-16,53.34,49.00
Rizal,2nd,2024-06-16,54.00,50.17
Romblon,2nd,2024-06-16,60.00,58.75
Sarangani,2nd,2024-06-16,54.92,53.50
Siquijor,2nd,2024-06-16,56.80,56.98
Sorsogon,2nd,2024-06-16,55.10,49.39
South Cotabato,2nd,2024-06-16,52.85,43.90
Southern Leyte,2nd,2024-06-16,60.69,56.77
Sultan Kudarat,2nd,2024-06-16,52.75,51.34
Sulu,2nd,2024-06-16,,
Surigao Del Norte,2nd,2024-06-16,54.00,50.50
Surigao Del Sur,2nd,2024-06-16,55.45,52.75
Tarlac,2nd,2024-06-16,55.00,51.67
Tawi-Tawi,2nd,2024-06-16,60.00,53.42
Western Samar,2nd,2024-06-16,56.00,52.10
Zambales,2nd,2024-06-16,69.54,67.19
Zamboanga Del Norte,2nd,2024-06-16,57.70,54.65
Zamboanga Del Sur,2nd,2024-06-16,54.63,51.68
Zamboanga Sibugay,2nd,2024-06-16,56.25,51.00
Abra,1st,2024-07-01,56.00,47.00
Agusan Del Norte,1st,2024-07-01,54.29,50.67
Agusan Del Sur,1st,2024-07-01,54.38,51.75
Aklan,1st,2024-07-01,63.00,52.00
Albay,1st,2024-07-01,53.00,53.75
Antique,1st,2024-07-01,58.00,53.00
Apayao,1st,2024-07-01,49.90,48.38
Aurora,1st,2024-07-01,53.00,50.00
Basilan,1st,2024-07-01,55.50,55.00
Bataan,1st,2024-07-01,65.95,45.52
Batanes,1st,2024-07-01,76.00,
Batangas,1st,2024-07-01,68.77,66.00
Benguet,1st,2024-07-01,50.75,43.25
Biliran,1st,2024-07-01,56.25,52.92
Bohol,1st,2024-07-01,56.50,54.10
Bukidnon,1st,2024-07-01,53.33,50.00
Bulacan,1st,2024-07-01,58.70,51.50
Cagayan,1st,2024-07-01,50.44,44.25
Camarines Norte,1st,2024-07-01,56.30,48.00
Camarines Sur,1st,2024-07-01,53.75,53.20
Camiguin,1st,2024-07-01,55.00,52.25
Capiz,1st,2024-07-01,52.00,50.00
Catanduanes,1st,2024-07-01,55.00,53.00
Cavite,1st,2024-07-01,52.55,49.41
Cebu,1st,2024-07-01,58.20,53.25
City Of Isabela,1st,2024-07-01,59.89,51.83
Davao De Oro,1st,2024-07-01,,52.17
Davao Del Norte,1st,2024-07-01,59.18,49.48
Davao Del Sur,1st,2024-07-01,55.50,53.25
Davao Occidental,1st,2024-07-01,55.09,53.40
Davao Oriental,1st,2024-07-01,57.50,51.67
Dinagat Islands,1st,2024-07-01,55.92,53.98
Eastern Samar,1st,2024-07-01,51.19,53.57
Guimaras,1st,2024-07-01,55.00,52.00
Ifugao,1st,2024-07-01,56.70,50.00
Ilocos Norte,1st,2024-07-01,53.10,50.00
Ilocos Sur,1st,2024-07-01,51.50,48.25
Iloilo,1st,2024-07-01,63.27,39.75
Isabela,1st,2024-07-01,49.78,44.30
Kalinga,1st,2024-07-01,56.50,52.00
La Union,1st,2024-07-01,54.00,51.00
Laguna,1st,2024-07-01,54.38,50.50
Lanao Del Sur,1st,2024-07-01,59.34,57.63
Lanao del Norte,1st,2024-07-01,52.33,48.33
Leyte,1st,2024-07-01,67.43,50.59
Maguindanao,1st,2024-07-01,48.75,47.50
Marinduque,1st,2024-07-01,56.00,53.00
Masbate,1st,2024-07-01,56.25,54.00
Misamis Occidental,1st,2024-07-01,53.50,50.00
Misamis Oriental,1st,2024-07-01,59.47,55.96
Mountain Province,1st,2024-07-01,65.00,56.50
NCR,1st,2024-07-01,53.29,46.29
Negros Occidental,1st,2024-07-01,65.00,52.42
Negros Oriental,1st,2024-07-01,56.92,53.00
North Cotabato,1st,2024-07-01,55.38,53.20
Northern Samar,1st,2024-07-01,53.46,45.67
Nueva Ecija,1st,2024-07-01,53.34,49.84
Nueva Vizcaya,1st,2024-07-01,48.00,47.00
Occidental Mindoro,1st,2024-07-01,59.18,55.05
Oriental Mindoro,1st,2024-07-01,49.92,42.50
Palawan,1st,2024-07-01,52.15,46.68
Pampanga,1st,2024-07-01,54.50,50.90
Pangasinan,1st,2024-07-01,50.60,48.50
Quezon,1st,2024-07-01,53.50,50.00
Quirino,1st,2024-07-01,53.34,49.00
Rizal,1st,2024-07-01,54.00,50.17
Romblon,1st,2024-07-01,62.50,59.50
Sarangani,1st,2024-07-01,55.88,54.00
Siquijor,1st,2024-07-01,59.63,54.82
Sorsogon,1st,2024-07-01,55.10,49.55
South Cotabato,1st,2024-07-01,54.00,43.90
Southern Leyte,1st,2024-07-01,60.69,56.77
Sultan Kudarat,1st,2024-07-01,52.67,51.17
Sulu,1st,2024-07-01,,
Surigao Del Norte,1st,2024-07-01,53.50,50.00
Surigao Del Sur,1st,2024-07-01,55.30,52.20
Tarlac,1st,2024-07-01,55.00,51.00
Tawi-Tawi,1st,2024-07-01,60.00,53.42
Western Samar,1st,2024-07-01,56.38,52.88
Zambales,1st,2024-07-01,69.54,67.19
Zamboanga Del Norte,1st,2024-07-01,57.70,54.65
Zamboanga Del Sur,1st,2024-07-01,54.63,52.40
Zamboanga Sibugay,1st,2024-07-01,56.25,51.00
Abra,2nd,2024-07-16,56.00,47.00
Agusan Del Norte,2nd,2024-07-16,53.68,50.46
Agusan Del Sur,2nd,2024-07-16,54.88,51.17
Aklan,2nd,2024-07-16,63.00,52.00
Albay,2nd,2024-07-16,53.38,53.38
Antique,2nd,2024-07-16,57.50,53.00
Apayao,2nd,2024-07-16,49.90,48.38
Aurora,2nd,2024-07-16,52.50,50.00
Basilan,2nd,2024-07-16,56.63,55.00
Bataan,2nd,2024-07-16,61.43,42.67
Batanes,2nd,2024-07-16,76.00,
Batangas,2nd,2024-07-16,68.57,66.00
Benguet,2nd,2024-07-16,50.75,43.25
Biliran,2nd,2024-07-16,56.25,52.92
Bohol,2nd,2024-07-16,56.10,53.40
Bukidnon,2nd,2024-07-16,55.00,50.00
Bulacan,2nd,2024-07-16,54.63,52.00
Cagayan,2nd,2024-07-16,51.50,44.25
Camarines Norte,2nd,2024-07-16,56.62,48.00
Camarines Sur,2nd,2024-07-16,51.00,50.43
Camiguin,2nd,2024-07-16,54.75,52.09
Capiz,2nd,2024-07-16,52.50,50.34
Catanduanes,2nd,2024-07-16,54.50,51.50
Cavite,2nd,2024-07-16,52.64,49.41
Cebu,2nd,2024-07-16,58.20,53.25
City Of Isabela,2nd,2024-07-16,59.89,51.83
